BUL008,Bulb Holder Ceiling Rose,PACLINV0045574,,,"2,724.14","1,526.11",,,"1,198.03",43.98,,,,,,,,,,,,,
BUL009,Bulb Holder Pin,PACLINV0057865,,,"1,309.49",711.15,,,598.34,45.69,,,,,,,,,,,,,
BUL010,Bulb Holder Screw,PACLINV0047998,,,603.45,526.89,,,76.56,12.69,,,,,,,,,,,,,
BUL011,Bulb Holder Straight,PACLINV0043717,,,387.93,266.52,,,121.41,31.30,,,,,,,,,,,,,
BUL015,Bulk Head Fitting,PACLINV0051448,,,"1,810.34","1,672.42",,,137.92,7.62,,,,,,,,,,,,,
BUS002,"Bush JK 1/2""",PACLINV0060692,,,103.45,50.56,,,52.89,51.13,,,,,,,,,,,,,
BUS004,"Bush JK 11/4""",PACLINV0034504,,,517.24,413.80,,,103.44,20.00,,,,,,,,,,,,,
BUS007,Bush Ball 11/2x4,PACLINV0056171,,,"8,836.21","6,724.12",,,"2,112.09",23.90,,,,,,,,,,,,,
BUS008,Bush Ball 11/4x4,PACLINV0041857,,,"3,362.06","1,965.48",,,"1,396.58",41.54,,,,,,,,,,,,,
BUS009,Bush Ball 1x4,PACLINV0056982,,,"10,112.05","5,603.65",,,"4,508.40",44.58,,,,,,,,,,,,,
BUS010,Bush Ball 3/4x4,PACLINV0060301,,,"6,849.13","3,717.00",,,"3,132.13",45.73,,,,,,,,,,,,,
BUS015,Bush Smooth 1,PACLINV0060061,,,"3,603.44","1,943.81",,,"1,659.63",46.06,,,,,,,,,,,,,
BUS016,Bush Smooth 11/2,PACLINV0051160,,,"5,008.62","3,172.39",,,"1,836.23",36.66,,,,,,,,,,,,,
BUS017,Bush Smooth 11/4,PACLINV0042018,,,"3,129.31","1,862.10",,,"1,267.21",40.49,,,,,,,,,,,,,
BUS018,Bush Smooth 3/4,PACLINV0057494,,,"4,051.72","2,142.07",,,"1,909.65",47.13,,,,,,,,,,,,,
BUS019,Bush smooth 1/2,PACLINV0047074,,,"2,293.12","1,040.00",,,"1,253.12",54.65,,,,,,,,,,,,,
BUT005,Butterfly Bush 3/4,PACLINV0058086,,,"3,258.61","1,260.00",,,"1,998.61",61.33,,,,,,,,,,,,,
BUT006,"Butterfly Bush 1"" imported",PACLINV0059067,,,"37,749.99","24,468.80",,,"13,281.19",35.18,,,,,,,,,,,,,
BUT007,"Butterfly Bush 3/4"" imported",PACLINV0060294,,,"10,629.29","5,068.56",,,"5,560.73",52.32,,,,,,,,,,,,,
C/ 004,C/ Transeal 1l,PACLINV0045943,,,"2,629.31","2,046.65",,,582.66,22.16,,,,,,,,,,,,,
C/ 005,C/ Transeal 4l,PACLINV0058835,,,"132,577.60","93,528.92",,,"39,048.68",29.45,,,,,,,,,,,,,
C/E001,C/S/G  Aqua Glow Accent 4l,PACLINV0059707,,,"10,948.28","6,796.01",,,"4,152.27",37.93,,,,,,,,,,,,,
C/E004,C/E Covermatt White 1l,PACLINV0056295,,,"32,098.21","17,969.38",,,"14,128.83",44.02,,,,,,,,,,,,,
C/E005,C/E Covermatt White 20l,PACLINV0060697,,,"2,096,008.86","1,926,560.66",,,"169,448.20",8.08,,,,,,,,,,,,,
C/E006,C/E Covermatt White 4l,PACLINV0056020,,,"292,590.80","219,726.04",,,"72,864.76",24.90,,,,,,,,,,,,,
C/E007,C/E Matt Accent Base 1l,PACLINV0058781,,,"14,396.54","8,298.53",,,"6,098.01",42.36,,,,,,,,,,,,,
C/E008,C/E Matt Accent Base 20l,PACLINV0052652,,,"78,340.52","59,841.31",,,"18,499.21",23.61,,,,,,,,,,,,,
C/E009,C/E Matt Accent Base 4l,PACLINV0056552,,,"34,913.80","23,439.84",,,"11,473.96",32.86,,,,,,,,,,,,,
C/E012,C/E Matt Black 1l,PACLINV0044892,,,"3,663.79","2,960.52",,,703.27,19.20,,,,,,,,,,,,,
C/E014,C/E Matt Black 4l,PACLINV0056376,,,"10,474.14","9,501.84",,,972.30,9.28,,,,,,,,,,,,,
C/E015,C/E Matt Deep Base 1l,PACLINV0061246,,,"4,396.56","3,488.70",,,907.86,20.65,,,,,,,,,,,,,
C/E017,C/E Matt Deep Base 4l,PACLINV0061263,,,"10,086.20","7,339.44",,,"2,746.76",27.23,,,,,,,,,,,,,
C/E018,C/E Matt Pastel Base 1l,PACLINV0056628,,,"41,939.68","31,812.79",,,"10,126.89",24.15,,,,,,,,,,,,,
C/E019,C/E Matt Pastel Base 20l,PACLINV0060697,,,"914,655.18","817,070.81",,,"97,584.37",10.67,,,,,,,,,,,,,
C/E020,C/E Matt Pastel Base 4l,PACLINV0056184,,,"256,982.79","196,780.77",,,"60,202.02",23.43,,,,,,,,,,,,,
C/E025,C/E Silicon Accent Base 1l,PACLINV0060307,,,"43,448.31","26,932.34",,,"16,515.97",38.01,,,,,,,,,,,,,
C/E026,C/E Silicon Accent Base 20l,PACLINV0057277,,,"188,586.22","139,081.69",,,"49,504.53",26.25,,,,,,,,,,,,,
C/E027,C/E Silicon Accent Base 4l,PACLINV0061062,,,"146,810.33","99,637.86",,,"47,172.47",32.13,,,,,,,,,,,,,
C/E028,C/E Silicon B/White 1l,PACLINV0060069,,,"3,448.27","2,337.15",,,"1,111.12",32.22,,,,,,,,,,,,,
C/E029,C/E Silicon B/White 20l,PACLINV0057483,,,"356,896.53","339,753.89",,,"17,142.64",4.80,,,,,,,,,,,,,
C/E030,C/E Silicon B/White 4l,PACLINV0060557,,,"97,586.19","91,263.16",,,"6,323.03",6.48,,,,,,,,,,,,,
C/E031,C/E Silicon Black 1l,PACLINV0057566,,,"11,896.56","9,282.98",,,"2,613.58",21.97,,,,,,,,,,,,,
C/E032,C/E Silicon Black 4l,PACLINV0059696,,,"55,775.88","51,311.54",,,"4,464.34",8.00,,,,,,,,,,,,,
C/E033,C/E Silicon Deep Base 1l,PACLINV0057502,,,"18,275.87","13,513.86",,,"4,762.01",26.06,,,,,,,,,,,,,
C/E034,C/E Silicon Deep Base 20l,PACLINV0059709,,,"213,017.25","188,045.10",,,"24,972.15",11.72,,,,,,,,,,,,,
C/E035,C/E Silicon Deep Base 4l,PACLINV0057227,,,"87,629.30","73,343.12",,,"14,286.18",16.30,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 6 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
C/E036,C/E Silicon Pastel Base 1l,PACLINV0061290,,,"44,655.23","34,058.42",,,"10,596.81",23.73,,,,,,,,,,,,,
C/E037,C/E Silicon Pastel Base 20l,PACLINV0056521,,,"765,862.05","677,644.36",,,"88,217.69",11.52,,,,,,,,,,,,,
C/E038,C/E Silicon Pastel Base 4l,PACLINV0060992,,,"270,978.47","236,880.36",,,"34,098.11",12.58,,,,,,,,,,,,,
C/E040,C/E Silk Accent Base 1l,PACLINV0060033,,,"16,034.48","10,121.33",,,"5,913.15",36.88,,,,,,,,,,,,,
C/E041,C/E Silk Accent Base 20l,PACLINV0045361,,,"13,362.07","7,886.56",,,"5,475.51",40.98,,,,,,,,,,,,,
C/E042,C/E Silk Accent Base 4l,PACLINV0053626,,,"57,068.96","35,088.28",,,"21,980.68",38.52,,,,,,,,,,,,,
C/E043,C/E Silk Brill White 20l,PACLINV0056105,,,"383,103.44","312,916.64",,,"70,186.80",18.32,,,,,,,,,,,,,
C/E044,C/E Silk Deep Base 1l,PACLINV0058581,,,"9,568.96","7,432.54",,,"2,136.42",22.33,,,,,,,,,,,,,
C/E045,C/E Silk Deep Base 20l,PACLINV0060727,,,"90,344.83","78,270.84",,,"12,073.99",13.36,,,,,,,,,,,,,
C/E046,C/E Silk Deep Base 4l,PACLINV0059412,,,"53,146.55","43,550.05",,,"9,596.50",18.06,,,,,,,,,,,,,
C/E047,C/E Silk Pastel Base 1l,PACLINV0060110,,,"93,706.85","69,917.39",,,"23,789.46",25.39,,,,,,,,,,,,,
C/E048,C/E Silk Pastel Base 20l,PACLINV0058123,,,"1,257,543.12","1,097,742.82",,,"159,800.30",12.71,,,,,,,,,,,,,
C/E049,C/E Silk Pastel Base 4l,PACLINV0060000,,,"637,965.45","523,764.68",,,"114,200.77",17.90,,,,,,,,,,,,,
C/S002,C/S/G Accent Base 4l,PACLINV0058245,,,"351,379.26","240,190.34",,,"111,188.92",31.64,,,,,,,,,,,,,
C/S003,C/S/G Accent Base  1l,PACLINV0060295,,,"94,439.73","53,607.63",,,"40,832.10",43.24,,,,,,,,,,,,,
C/S009,C/S/G Black 1l,PACLINV0058154,,,"66,840.50","50,671.59",,,"16,168.91",24.19,,,,,,,,,,,,,
C/S010,C/S/G Black BITUMINOUS 4l,PACLINV0058149,,,"89,999.99","68,180.90",,,"21,819.09",24.24,,,,,,,,,,,,,
C/S012,C/S/G C/Varnish H/G 1l,PACLINV0056573,,,"46,685.36","34,239.15",,,"12,446.21",26.66,,,,,,,,,,,,,
C/S013,C/S/G C/Varnish H/G 4l,PACLINV0059919,,,"258,189.75","207,371.32",,,"50,818.43",19.68,,,,,,,,,,,,,
C/S014,C/S/G Clear Varnish Matt 1l,PACLINV0056835,,,"9,956.91","7,176.50",,,"2,780.41",27.92,,,,,,,,,,,,,
C/S016,C/S/G Clear Varnish Nc 4l,PACLINV0036720,,,"7,241.38","6,191.31",,,"1,050.07",14.50,,,,,,,,,,,,,
C/S017,C/S/G Deep Base 1l,PACLINV0058938,,,"21,293.12","15,227.01",,,"6,066.11",28.49,,,,,,,,,,,,,
C/S018,C/S/G Deep Base 4l,PACLINV0059843,,,"76,810.34","65,129.63",,,"11,680.71",15.21,,,,,,,,,,,,,
C/S020,C/S/G Eggshell Accent Base 1l,PACLINV0058202,,,"15,862.06","9,820.00",,,"6,042.06",38.09,,,,,,,,,,,,,
C/S021,C/S/G Eggshell Accent Base 4l,PACLCRN0002868,,,"99,612.07","84,515.37",,,"15,096.70",15.16,,,,,,,,,,,,,
C/S022,C/S/G Eggshell Black 1l,PACLINV0050072,,,"2,500.00","1,967.80",,,532.20,21.29,,,,,,,,,,,,,
C/S023,C/S/G Eggshell Black 4l,PACLINV0058126,,,"31,508.63","28,993.59",,,"2,515.04",7.98,,,,,,,,,,,,,
C/S024,C/S/G Eggshell Deep Base 1l,PACLINV0060169,,,"5,948.29","4,652.22",,,"1,296.07",21.79,,,,,,,,,,,,,
C/S025,C/S/G Eggshell Deep Base 4l,PACLINV0060557,,,"12,068.96","10,809.20",,,"1,259.76",10.44,,,,,,,,,,,,,
C/S026,C/S/G Eggshell Pastel 1l,PACLINV0060169,,,"12,500.01","9,624.48",,,"2,875.53",23.00,,,,,,,,,,,,,
C/S027,C/S/G Eggshell Pastel 4l,PACLINV0059368,,,"15,086.20","14,305.50",,,780.70,5.17,,,,,,,,,,,,,
C/S028,C/S/G Floor Grey 4l,PACLINV0030883,,,"5,862.07","5,563.80",,,298.27,5.09,,,,,,,,,,,,,
C/S029,C/S/G Floor Paint Red Oxide 1l,PACLINV0052493,,,"8,189.65","6,527.52",,,"1,662.13",20.30,,,,,,,,,,,,,
C/S031,C/S/G Floor Paint Red Oxide 4L,PACLINV0060354,,,"28,922.42","26,543.02",,,"2,379.40",8.23,,,,,,,,,,,,,
C/S037,C/S/G Clear Varnish Matt  4l,PACLINV0056022,,,"55,862.06","46,980.73",,,"8,881.33",15.90,,,,,,,,,,,,,
C/S038,C/S/G Matt Finish Black 1l,PACLINV0058534,,,"13,103.44","10,089.99",,,"3,013.45",23.00,,,,,,,,,,,,,
C/S039,C/S/G Matt Finish Black 4l,PACLINV0060433,,,"58,965.51","55,456.24",,,"3,509.27",5.95,,,,,,,,,,,,,
C/S042,C/S/G Multi-purpose Varnish 4,PACLINV0056832,,,"6,206.90","6,102.72",,,104.18,1.68,,,,,,,,,,,,,
C/S046,C/S/G Pastel Base 1l,PACLINV0060753,,,"112,517.24","82,878.15",,,"29,639.09",26.34,,,,,,,,,,,,,
C/S047,C/S/G Pastel Base 4l,PACLINV0056416,,,"573,426.72","517,579.60",,,"55,847.12",9.74,,,,,,,,,,,,,
C/S048,C/S/G Roadline White 4l,PACLINV0057809,,,"48,793.11","43,646.73",,,"5,146.38",10.55,,,,,,,,,,,,,
C/S050,C/S/G Roadline Yellow 4l,PACLINV0047209,,,"11,465.52","9,931.71",,,"1,533.81",13.38,,,,,,,,,,,,,
C/S053,C/S/G Roof Green 4l,PACLINV0055138,,,"2,500.00","2,401.84",,,98.16,3.93,,,,,,,,,,,,,
C/S057,C/S/G Roofmaster Clear Base,PACLINV0060940,,,"116,379.32","88,659.55",,,"27,719.77",23.82,,,,,,,,,,,,,
C/S058,C/S/G Ruff & Tuff 30l-Normal,PACLINV0059217,,,"1,615,560.34","1,475,506.97",,,"140,053.37",8.67,,,,,,,,,,,,,
C/S061,C/S/G Sanding Sealer 1l,PACLINV0044649,,,"31,250.05","20,804.77",,,"10,445.28",33.42,,,,,,,,,,,,,
C/S062,C/S/G Sanding Sealer 4l,PACLINV0059624,,,"243,275.90","182,862.36",,,"60,413.54",24.83,,,,,,,,,,,,,
C/S068,C/S/G Thinner For Roadline 5L,PACLINV0044489,,,"20,172.40","15,873.48",,,"4,298.92",21.31,,,,,,,,,,,,,
C/S069,C/S/G Twopack Thinner 1l,PACLINV0054925,,,"7,586.20","3,925.56",,,"3,660.64",48.25,,,,,,,,,,,,,
C/S070,C/S/G Twopack Thinner 5l,PACLINV0058822,,,"103,362.07","94,420.45",,,"8,941.62",8.65,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 7 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
C/S071,C/S/G Twopack V/Gloss 1l,PACLINV0054220,,,"22,931.03","20,711.52",,,"2,219.51",9.68,,,,,,,,,,,,,
C/S072,C/S/G Twopack V/Gloss 4l,PACLINV0058139,,,"322,500.03","281,794.65",,,"40,705.38",12.62,,,,,,,,,,,,,
C/S074,C/S/G Twopack V/Matt 4l,PACLINV0061075,,,"65,000.01","60,370.09",,,"4,629.92",7.12,,,,,,,,,,,,,
C/S075,C/S/G Undercoat 1l,PACLINV0056839,,,"26,681.09","21,546.08",,,"5,135.01",19.25,,,,,,,,,,,,,
C/S076,C/S/G Undercoat 4l,PACLINV0060307,,,"221,293.09","180,929.43",,,"40,363.66",18.24,,,,,,,,,,,,,
C/S077,C/S/G Varnish Mahogany 1L,PACLINV0059212,,,"20,862.10","10,361.62",,,"10,500.48",50.33,,,,,,,,,,,,,
C/S078,C/S/G Vesta Black 1l,PACLINV0030718,,,"2,456.89","1,200.35",,,"1,256.54",51.14,,,,,,,,,,,,,
C/S079,C/S/G Vesta Black 4l,PACLINV0050458,,,"7,068.95","4,273.30",,,"2,795.65",39.55,,,,,,,,,,,,,
C/S080,C/S/G Vesta Floor Red 4l,PACLINV0045746,,,"3,448.27","2,607.20",,,841.07,24.39,,,,,,,,,,,,,
C/S081,C/S/G Vesta Grey Oxide 1l-primer,PACLCRN0002884,,,"26,379.19","19,696.69",,,"6,682.50",25.33,,,,,,,,,,,,,
C/S083,C/S/G Vesta Red Oxide 1l,PACLINV0045967,,,431.03,294.70,,,136.33,31.63,,,,,,,,,,,,,
C/S084,C/S/G Vesta Red Oxide 4l,PACLINV0047643,,,"1,293.10",873.69,,,419.41,32.43,,,,,,,,,,,,,
C/S086,C/S/G Vesta White 1l,PACLINV0052866,,,"3,362.05","1,779.12",,,"1,582.93",47.08,,,,,,,,,,,,,
C/S087,C/S/G Vesta White 4l,PACLINV0057554,,,"4,568.97","3,271.76",,,"1,297.21",28.39,,,,,,,,,,,,,
C/S089,C/S/G Wood Primer White 4l,PACLINV0060570,,,"14,568.96","12,525.48",,,"2,043.48",14.03,,,,,,,,,,,,,
CAB001,Cable Clips 10mm,PACLINV0048695,,,"1,198.28",701.12,,,497.16,41.49,,,,,,,,,,,,,
CAB002,Cable Clips 12mm,PACLINV0059177,,,"1,224.13",629.18,,,594.95,48.60,,,,,,,,,,,,,
CAB003,Cable Clips 9mm,PACLINV0055231,,,215.52,86.20,,,129.32,60.00,,,,,,,,,,,,,
CAB005,Cable Clips Round 10mm,PACLINV0051961,,,543.10,413.80,,,129.30,23.81,,,,,,,,,,,,,
CAB006,Cable Ties 10,PACLINV0044408,,,"1,120.68",825.90,,,294.78,26.30,,,,,,,,,,,,,
CAB007,Cable Ties 12,PACLINV0053259,,,"2,155.17","1,475.54",,,679.63,31.53,,,,,,,,,,,,,
CAB008,Cable Ties 14,PACLINV0059855,,,"1,767.23","1,146.53",,,620.70,35.12,,,,,,,,,,,,,
CAB009,Cable Ties 6,PACLINV0051948,,,"1,215.51",689.68,,,525.83,43.26,,,,,,,,,,,,,
CAB010,Cable Ties 8,PACLINV0057480,,,"2,129.29","1,456.91",,,672.38,31.58,,,,,,,,,,,,,
CAB011,Cable Ties  Pcs,PACLINV0056568,,,439.65,307.53,,,132.12,30.05,,,,,,,,,,,,,
CAB014,Cable Clips 8mm,PACLINV0057971,,,862.08,408.63,,,453.45,52.60,,,,,,,,,,,,,
CAN001,Canvas Fire hose 3x30m,PACLINV0044404,,,"12,758.62","6,896.56",,,"5,862.06",45.95,,,,,,,,,,,,,
CAR004,Carpet Brush,PACLINV0058127,,,"2,758.61","1,854.59",,,904.02,32.77,,,,,,,,,,,,,
CEI001,Ceiling Board Flowered,PACLINV0059825,,,"43,456.90","35,905.24",,,"7,551.66",17.38,,,,,,,,,,,,,
CEI002,Ceiling Board Plain,PACLINV0058224,,,"107,025.89","78,353.46",,,"28,672.43",26.79,,,,,,,,,,,,,
CEM001,Cement In Kgs,PACLINV0057222,,,"4,362.04","2,133.45",,,"2,228.59",51.09,,,,,,,,,,,,,
CEM002,C/E Matt B/White 20l,PACLINV0058680,,,"55,172.41","40,163.56",,,"15,008.85",27.20,,,,,,,,,,,,,
CEN001,Center Stopper,PACLINV0045545,,,503.45,193.28,,,310.17,61.61,,,,,,,,,,,,,
CER002,Cerrazo 1l,PACLINV0060470,,,"4,439.64","2,560.36",,,"1,879.28",42.33,,,,,,,,,,,,,
CER003,Cerrazo 5l,PACLINV0058526,,,"15,775.85","10,797.46",,,"4,978.39",31.56,,,,,,,,,,,,,
CER004,C/E Rain Protek pastel Base 4lt,PACLINV0061067,,,"5,517.24","4,955.18",,,562.06,10.19,,,,,,,,,,,,,
CER005,C/E Rain Protek Deep Base-4lt,PACLINV0061275,,,"5,517.24","4,683.52",,,833.72,15.11,,,,,,,,,,,,,
CES002,C/E Silk Bril White 1Ltr,PACLINV0060069,,,"11,034.49","8,478.76",,,"2,555.73",23.16,,,,,,,,,,,,,
CES003,C/E Silk Bril White 4 ltr,PACLINV0059375,,,"75,862.06","64,564.60",,,"11,297.46",14.89,,,,,,,,,,,,,
CEV002,C/S/G Vesta Primer Grey Oxide 4l,PACLINV0059743,,,"151,939.55","125,001.47",,,"26,938.08",17.73,,,,,,,,,,,,,
CHA001,Chain 1/4,PACLINV0059400,,,"7,784.46","4,137.90",,,"3,646.56",46.84,,,,,,,,,,,,,
CHA002,Chain 3/16,PACLINV0058828,,,"8,211.18","4,214.40",,,"3,996.78",48.67,,,,,,,,,,,,,
CHA005,Chain Link 4ft,PACLINV0054018,,,"22,586.21","19,043.34",,,"3,542.87",15.69,,,,,,,,,,,,,
CHA006,Chain Link 5ft,PACLCRN0002206,,,"30,301.72","25,908.30",,,"4,393.42",14.50,,,,,,,,,,,,,
CHA007,Chain Link 6ft,PACLINV0039439,,,"26,767.24","23,521.60",,,"3,245.64",12.13,,,,,,,,,,,,,
CHA008,Chain Link 7ft,PACLINV0055193,,,"22,672.41","19,913.82",,,"2,758.59",12.17,,,,,,,,,,,,,
CHA009,Chain Link 8ft,PACLINV0047508,,,"58,620.68","49,724.10",,,"8,896.58",15.18,,,,,,,,,,,,,
CHA012,Chair Rubber Square 2,PACLINV0052651,,,224.13,93.12,,,131.01,58.45,,,,,,,,,,,,,
CHA013,Chair Rubber Square 3/4,PACLINV0055406,,,17.24,6.88,,,10.36,60.09,,,,,,,,,,,,,
CHA014,Chalk pcs,PACLINV0036217,,,327.59,163.78,,,163.81,50.00,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 8 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
CHA015,Chalk Line,PACLINV0060965,,,"5,862.04","3,696.48",,,"2,165.56",36.94,,,,,,,,,,,,,
CHA016,Chalk Carton,PACLINV0043553,,,"1,284.49",612.00,,,672.49,52.35,,,,,,,,,,,,,
CHA017,Chalk Pkt,PACLINV0059245,,,"1,250.00",383.85,,,866.15,69.29,,,,,,,,,,,,,
CHE001,Chequered Plate 16g,PACLINV0041857,,,"7,672.41","7,191.78",,,480.63,6.26,,,,,,,,,,,,,
CHE002,Chequered Plate 2mm,PACLINV0056755,,,"15,517.24","14,224.14",,,"1,293.10",8.33,,,,,,,,,,,,,
CHE004,Chequered Plate 4mm,PACLINV0033697,,,"355,603.45","307,241.22",,,"48,362.23",13.60,,,,,,,,,,,,,
CHI001,Chicken Wire 1/2x30 MTRS,PACLCRN0002905,,,"12,465.47","9,452.85",,,"3,012.62",24.17,,,,,,,,,,,,,
CHI004,Chicken Wire Roll 1/2x30,PACLINV0058473,,,"120,991.29","76,975.78",,,"44,015.51",36.38,,,,,,,,,,,,,
CHI005,Chicken Wire Roll 1/2x6FT,PACLINV0056111,,,"10,603.44","8,749.99",,,"1,853.45",17.48,,,,,,,,,,,,,
CHI006,MDF Particle White,PACLINV0052159,,,"16,637.93","14,224.14",,,"2,413.79",14.51,,,,,,,,,,,,,
CHI008,Chisel 1/2,PACLINV0054150,,,844.82,596.00,,,248.82,29.45,,,,,,,,,,,,,
CHI009,Chisel 3/4,PACLINV0041996,,,732.76,517.24,,,215.52,29.41,,,,,,,,,,,,,
CHR001,Chrome Brackets 1,PACLINV0051261,,,"4,857.75","2,407.20",,,"2,450.55",50.45,,,,,,,,,,,,,
CHR003,Chrome Brackets 3/4,PACLINV0029111,,,68.97,38.79,,,30.18,43.76,,,,,,,,,,,,,
CHR004,Chrome Pipe 1,PACLINV0056978,,,"11,672.41","7,263.48",,,"4,408.93",37.77,,,,,,,,,,,,,
CHR005,Chrome Pipe 3/4,PACLCRN0001340,,,344.83,301.72,,,43.11,12.50,,,,,,,,,,,,,
CIR002,Circular Blade 4.5,PACLINV0059825,,,"8,081.89","5,540.31",,,"2,541.58",31.45,,,,,,,,,,,,,
CIR003,Circular Blade 7,PACLINV0058902,,,"14,181.05","9,176.58",,,"5,004.47",35.29,,,,,,,,,,,,,
CIR004,Circular Blade 9,PACLINV0056118,,,"10,258.62","6,602.95",,,"3,655.67",35.64,,,,,,,,,,,,,
CIR006,Circular Box 2way,PACLINV0060128,,,344.83,103.50,,,241.33,69.99,,,,,,,,,,,,,
CIR007,Circular Box 3way 20mm,PACLINV0058448,,,"4,172.41","2,306.90",,,"1,865.51",44.71,,,,,,,,,,,,,
CIR008,Circular Box 3way 25mm,PACLINV0060566,,,"2,129.30","1,137.84",,,991.46,46.56,,,,,,,,,,,,,
CIR009,Circular Box 4way 20mm,PACLINV0057132,,,"99,982.74","50,400.87",,,"49,581.87",49.59,,,,,,,,,,,,,
CIR010,Circular Box 4way 25mm,PACLCRN0002918,,,"7,081.88","3,190.56",,,"3,891.32",54.95,,,,,,,,,,,,,
CIR011,Circular Box 1 way 20MM,PACLINV0037867,,,21.55,15.00,,,6.55,30.39,,,,,,,,,,,,,
CIS004,Cistern High Lever,PACLINV0056993,,,"2,241.38",931.60,,,"1,309.78",58.44,,,,,,,,,,,,,
CIS005,Cistern Low Lever,PACLINV0048542,,,"5,478.44","4,137.90",,,"1,340.54",24.47,,,,,,,,,,,,,
CIS006,Cistern Top Flush,PACLINV0059534,,,"16,250.00","10,782.06",,,"5,467.94",33.65,,,,,,,,,,,,,
CLA001,Claw Bar 4ft,PACLINV0060955,,,"4,982.75","3,578.60",,,"1,404.15",28.18,,,,,,,,,,,,,
CLA002,Claw Bar 5ft,PACLINV0060676,,,"16,206.91","12,241.40",,,"3,965.51",24.47,,,,,,,,,,,,,
CLA003,Claw Bar 6ft,PACLINV0058889,,,"9,870.70","7,586.26",,,"2,284.44",23.14,,,,,,,,,,,,,
CLA004,Stanley-Claw Hammer 160z (453g)f/g,PACLINV0058202,,,"2,232.76","1,956.00",,,276.76,12.40,,,,,,,,,,,,,
CLA005,Stanley-Claw Hammer 20oz,PACLINV0050905,,,"5,034.48","4,500.00",,,534.48,10.62,,,,,,,,,,,,,
CLA006,Claw Hammer 27mm,PACLINV0044657,,,"4,344.83","2,413.80",,,"1,931.03",44.44,,,,,,,,,,,,,
CLE004,Clear Tape Big,PACLCRN0002337,,,"2,439.65","1,100.00",,,"1,339.65",54.91,,,,,,,,,,,,,
CLE005,Clear Tape 2X20mts,PACLINV0056061,,,"16,508.62","1,322.04",,,"15,186.58",91.99,,,,,,,,,,,,,
CLO003,Close Couple Fitting Pvc,PACLINV0055222,,,"1,284.48",862.05,,,422.43,32.89,,,,,,,,,,,,,
CLO004,Close Couple Set,PACLINV0045350,,,"109,491.39","96,124.31",,,"13,367.08",12.21,,,,,,,,,,,,,
CLO006,Cloth Line,PACLINV0056920,,,"2,879.31","1,601.17",,,"1,278.14",44.39,,,,,,,,,,,,,
COA001,Coast Calcium,PACLINV0059031,,,"127,931.03","117,812.64",,,"10,118.39",7.91,,,,,,,,,,,,,
COA002,Coat Hook Double,PACLCRN0002356,,,603.45,256.90,,,346.55,57.43,,,,,,,,,,,,,
COA003,Coat Hook Single,PACLINV0048156,,,646.55,245.70,,,400.85,62.00,,,,,,,,,,,,,
COF001,Coffee Tray Roll,PACLINV0050507,,,"3,879.31","2,797.55",,,"1,081.76",27.89,,,,,,,,,,,,,
COF002,Coffee Tray Mtrs,PACLINV0058300,,,"26,749.97","15,875.00",,,"10,874.97",40.65,,,,,,,,,,,,,
COM001,Complete Hinges 1,PACLINV0053109,,,"3,008.62","1,784.34",,,"1,224.28",40.69,,,,,,,,,,,,,
CON006,Conduit Metro 20mm,PACLINV0058035,,,"1,153,948.24","951,391.79",,,"202,556.45",17.55,,,,,,,,,,,,,
CON007,Conduit Metro 25mm,PACLINV0060192,,,"650,103.60","488,397.22",,,"161,706.38",24.87,,,,,,,,,,,,,
CON008,Conduit Metro 32mm,PACLINV0058265,,,"211,482.70","174,482.77",,,"36,999.93",17.50,,,,,,,,,,,,,
CON009,Conduit Metro 38mm,PACLINV0056513,,,"17,922.42","15,629.53",,,"2,292.89",12.79,,,,,,,,,,,,,
CON010,Conduit Metro 50mm,PACLINV0059603,,,"94,379.29","81,500.00",,,"12,879.29",13.65,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 9 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
CON012,Construction Net,PACLINV0060883,,,"250,474.14","175,309.59",,,"75,164.55",30.01,,,,,,,,,,,,,
CON013,Consumer Unit 10way,PACLINV0057706,,,"3,965.52","3,362.06",,,603.46,15.22,,,,,,,,,,,,,
